69.171.230.8 bot - "2024-06-16 00:00:02" https://ejournal.univ-tridinanti.ac.id/index.php/lateral/index 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
139.18.242.215 - - "2024-06-16 00:05:56" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/index 200 "metha/0.3.9"
40.77.167.255 bot - "2024-06-16 00:09:42" https://ejournal.univ-tridinanti.ac.id/index.php/JEM/article/view/115 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
52.167.144.204 bot - "2024-06-16 00:13:22" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/view/95 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
52.167.144.204 bot - "2024-06-16 00:14:42" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/405 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
40.77.167.30 bot - "2024-06-16 00:22:53" https://ejournal.univ-tridinanti.ac.id/index.php/kompetitif/article/view/81 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
52.167.144.204 bot - "2024-06-16 00:31:41" https://ejournal.univ-tridinanti.ac.id/index.php/lateral/article/view/129 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
52.167.144.163 bot - "2024-06-16 00:32:30" https://ejournal.univ-tridinanti.ac.id/index.php/kompetitif/article/view/225 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
40.77.167.78 bot - "2024-06-16 00:34:15" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/209 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.66.81 bot - "2024-06-16 00:41:43" https://ejournal.univ-tridinanti.ac.id/index.php/infolek/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.83 bot - "2024-06-16 00:41:44" https://ejournal.univ-tridinanti.ac.id/index.php/infolek/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.4 bot - "2024-06-16 00:42:42" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/77 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
