40.77.167.46 bot - "2025-02-22 00:02:03" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/article/view/428 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.66.81 bot - "2025-02-22 00:05:19" https://ejournal.univ-tridinanti.ac.id/index.php/Didactique/article/download/659/316/2904 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
57.141.3.16 bot - "2025-02-22 00:09:13" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/issue/view/25 200 "meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)"
66.249.66.83 bot - "2025-02-22 00:09:38" https://ejournal.univ-tridinanti.ac.id/index.php/Desiminasi/article/download/1023/421/3845 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.53 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
158.160.48.245 - - "2025-02-22 00:10:08" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/731/338/2983 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0"
89.169.153.154 - - "2025-02-22 00:10:33" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/756 200 "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0)"
158.160.48.245 - - "2025-02-22 00:10:36" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/759 200 "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:109.0) Gecko/20100101 Firefox/114.0"
89.169.153.154 - - "2025-02-22 00:10:37" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/757 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15"
89.169.153.154 - - "2025-02-22 00:10:40" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/754 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Vivaldi/6.1.3035.75"
158.160.48.245 - - "2025-02-22 00:10:42" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/730/337/2980 200 "Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/114.0"
89.169.153.154 - - "2025-02-22 00:10:44" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/732/339/2986 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 YaBrowser/23.5.0.2282 Yowser/2.5 Safari/537.36"
